500	Time (ms)	Amplitude	Rise (ms)	Decay (ms)	Area	Baseline	Noise	Group	Channel	10-90Rise	HalfWidth	Rise50	Peak Dir	Burst#	BurstE#	10-90Slope	Rel Time	
49	6769.90	20.426	2.95	2	66.47	-1.475	3.531	0	0	2.54	3.57	2.35	-1	0	0	-6.44	139.50	
50	6774.20	21.149	1.55	3.5	74.88	-2.639	3.531	0	0	1.44	3.72	0.85	-1	0	0	-11.72	143.80	
51	7017.25	31.382	2.15	6.5	178.07	-0.622	-3.21	0	0	1.54	5.84	1.3	-1	0	0	-16.33	386.85	
52	7061.00	19.253	0.65	2.8	45.37	-0.933	1.816	0	0	0.54	1.93	0.15	-1	0	0	-28.74	430.60	
53	7198.20	21.751	1.75	2.95	63.27	-0.893	2.007	0	0	1.43	2.63	1.4	-1	0	0	-12.14	567.80	
54	7354.05	15.882	1.95	5.1	67.45	-1.896	-1.124	0	0	1.82	2.59	1.1	-1	0	0	-6.97	109.25	
55	7512.80	38.927	2.15	4.45	175.06	-2.418	-1.084	0	0	2	4.85	1.85	-1	0	0	-15.54	268.00	
56	7550.95	15.41	4.4	0.25	41.79	-2.819	1.134	0	0	4.06	0.45	0.3	-1	0	0	-3.04	306.15	
57	7808.20	38.576	4.45	5.9	257.24	1.605	0.02	0	0	3.7	7.22	3.35	-1	0	0	-8.33	563.40	
58	7833.80	32.807	0.75	4.15	100.19	-2.588	-3.612	0	0	0.61	2.59	0.45	-1	0	0	-43.07	589.00	
59	7851.70	20.677	0.7	2.9	47.29	1.254	-3.612	0	0	0.54	2.17	0.4	-1	0	0	-30.85	606.90	
60	7907.05	27.439	3.15	2.95	110.51	-9.611	-2.097	0	0	2.99	3.97	2.65	-1	0	0	-7.34	47.85	
61	7895.75	35.405	2.8	4.7	174.75	-0.732	-0.351	0	0	2.56	4.69	2.05	-1	0	0	-11.05	36.55	
62	7945.45	21.982	0.6	3.25	58.1	-3.271	-3.431	0	0	0.47	2.36	0.2	-1	0	0	-37.78	86.25	
63	7986.30	37.241	1.95	5.6	171.23	-0.472	0.391	0	0	1.4	4.39	1	-1	0	0	-21.26	127.10	
64	8132.10	30.71	2.5	3.6	116.22	-2.207	-0.843	0	0	2.32	3.49	1.95	-1	0	0	-10.57	272.90	
65	8210.45	26.888	3.55	4.25	143.68	-1.114	-0.241	0	0	3.24	6.79	2.65	-1	0	0	-6.64	351.25	
66	8306.05	23.025	1	4.75	87.61	-3.11	-1.806	0	0	0.82	3.77	0.5	-1	0	0	-22.41	446.85	
67	8356.15	39.94	1.4	4.5	157.95	-2.578	2.087	0	0	1.26	4.06	0.9	-1	0	0	-25.33	496.95	
