0.625	-2.5	-3.125	-9.375	-15	-18.125	-20.625	-20.625	-30	-29.375	-35	-28.75	-30.625	-28.75	-33.125	-25.625	-28.125	-31.875
0	0.625	-5	-8.75	-13.75	-17.5	-20.625	-20	-27.5	-27.5	-32.5	-30.625	-31.875	-32.5	-35.625	-25.625	-28.75	-31.25
0	1.25	-9.375	-10	-10	-20	-21.25	-18.75	-26.875	-29.375	-32.5	-30	-32.5	-30	-34.375	-25.625	-30.625	-33.75
0	-1.25	-10	-7.5	-13.125	-18.125	-20	-20.625	-30	-30	-32.5	-29.375	-27.5	-30.625	-30	-26.875	-28.75	-33.125
0	-5.625	-9.375	-10.625	-12.5	-19.375	-21.25	-25.625	-30	-31.25	-30	-27.5	-30	-30.625	-28.75	-26.875	-28.75	-35.625
1.25	-5	-8.75	-15	-12.5	-20	-21.875	-26.25	-30.625	-30	-31.25	-25	-32.5	-28.75	-28.75	-24.375	-28.125	-39.375
0	0	-5	-11.875	-15	-20	-20.625	-25.625	-30	-26.25	-30	-23.75	-30.625	-31.25	-29.375	-25	-31.875	-36.25
2.5	2.5	-7.5	-10.625	-15	-16.875	-23.125	-23.75	-31.875	-27.5	-28.75	-29.375	-33.125	-29.375	-29.375	-27.5	-33.75	-30.625
3.75	0	-8.125	-10	-14.375	-16.875	-22.5	-26.875	-30	-28.75	-31.25	-27.5	-33.125	-26.875	-28.125	-28.75	-28.125	-30
3.125	-3.75	-5.625	-10.625	-16.25	-20	-20.625	-28.75	-30	-28.125	-35	-28.125	-26.25	-31.25	-28.75	-25	-28.75	-30
-3.125	-1.25	-8.125	-11.875	-19.375	-21.25	-20	-28.125	-30	-30.625	-34.375	-31.875	-28.75	-33.125	-31.25	-23.125	-30.625	-32.5
-1.875	0.625	-6.25	-11.875	-14.375	-23.75	-21.875	-24.375	-32.5	-30	-35.625	-28.75	-29.375	-30	-31.25	-25.625	-28.125	-31.875
-3.125	0	-6.25	-11.875	-15	-20.625	-24.375	-25	-30.625	-28.75	-32.5	-28.125	-30	-26.25	-28.125	-30	-29.375	-31.25
-1.875	0	-4.375	-10.625	-16.875	-13.125	-25.625	-23.125	-26.25	-23.75	-35.625	-28.125	-29.375	-28.75	-28.125	-30	-29.375	-33.75
-2.5	-1.25	-3.75	-9.375	-13.75	-15	-20.625	-21.875	-23.125	-24.375	-30	-24.375	-31.25	-26.875	-31.875	-30.625	-31.875	-30
0.625	-1.875	-5	-9.375	-14.375	-18.125	-20	-21.875	-28.125	-30.625	-31.25	-30	-30	-24.375	-29.375	-30	-30	-31.25
1.25	-0.625	-6.875	-8.125	-17.5	-17.5	-20	-18.75	-29.375	-33.75	-34.375	-26.25	-27.5	-26.875	-28.125	-25.625	-30.625	-36.25
2.5	0.625	-8.125	-6.875	-20	-18.75	-20.625	-20.625	-28.75	-33.75	-35.625	-26.25	-30.625	-26.25	-30	-26.25	-30.625	-34.375
3.75	-3.125	-8.125	-8.75	-20	-18.125	-20.625	-23.75	-34.375	-30.625	-33.125	-29.375	-32.5	-24.375	-31.25	-30	-32.5	-30
2.5	-3.125	-4.375	-6.875	-12.5	-20	-20.625	-20	-31.25	-31.875	-35	-30.625	-30	-24.375	-32.5	-28.125	-35	-30
-1.875	-3.125	-1.875	-9.375	-18.125	-16.25	-20	-24.375	-26.25	-31.25	-35.625	-28.75	-30	-25	-33.125	-31.875	-35	-33.75
-3.125	-1.875	-3.125	-8.125	-19.375	-19.375	-20.625	-26.25	-31.25	-29.375	-35	-27.5	-28.75	-23.125	-28.125	-30.625	-32.5	-30.625
-1.875	0	-7.5	-5	-19.375	-20.625	-18.125	-25.625	-31.875	-25.625	-35	-26.25	-30.625	-25.625	-30	-28.125	-30.625	-31.875
-3.125	1.25	-5.625	-6.25	-13.125	-20	-18.75	-25	-29.375	-22.5	-35	-25.625	-31.25	-29.375	-32.5	-27.5	-30.625	-30.625
-3.75	0	-5	-10.625	-12.5	-18.75	-21.875	-24.375	-27.5	-24.375	-36.25	-21.875	-29.375	-28.125	-31.875	-25.625	-35	-28.125
-1.25	0	-5.625	-13.75	-18.125	-19.375	-18.75	-25.625	-26.25	-30.625	-34.375	-24.375	-27.5	-28.75	-30	-23.75	-31.875	-29.375
-1.25	-0.625	-5.625	-10.625	-11.875	-18.75	-18.125	-21.25	-27.5	-31.875	-35.625	-31.25	-25	-26.25	-28.125	-29.375	-27.5	-32.5
0	0	-7.5	-10	-11.875	-16.875	-21.25	-23.75	-27.5	-26.25	-35	-28.125	-30	-30	-28.75	-25.625	-30	-31.25
-1.25	-2.5	-4.375	-12.5	-15	-11.875	-23.75	-25	-28.125	-25.625	-33.125	-27.5	-30	-33.125	-30	-28.75	-30.625	-31.875
-1.875	-0.625	-1.25	-10.625	-15.625	-14.375	-21.875	-21.875	-29.375	-30	-33.75	-27.5	-30	-31.875	-30	-30	-30	-30
1.25	3.125	-2.5	-10.625	-16.875	-17.5	-22.5	-22.5	-30.625	-30	-32.5	-30	-30	-26.25	-30	-25.625	-28.75	-28.125
0	0	-5	-10.625	-17.5	-18.125	-20.625	-25.625	-29.375	-30.625	-36.25	-30	-31.875	-30	-31.25	-25.625	-28.125	-30
-1.875	0.625	-6.25	-10.625	-18.125	-17.5	-24.375	-26.875	-28.125	-28.75	-33.75	-27.5	-31.875	-30	-29.375	-29.375	-32.5	-35
-2.5	2.5	-5	-10.625	-20	-18.125	-23.125	-23.75	-28.125	-28.75	-31.875	-30	-34.375	-29.375	-26.25	-30	-36.25	-31.25
-1.25	-0.625	-8.125	-12.5	-18.75	-17.5	-18.75	-24.375	-28.75	-30	-32.5	-31.25	-30	-29.375	-30.625	-25.625	-32.5	-30
-2.5	-3.125	-8.75	-10.625	-13.125	-17.5	-20.625	-21.25	-31.875	-31.25	-34.375	-29.375	-30	-28.125	-30	-21.25	-31.875	-32.5
-3.75	-1.875	-10	-10	-15	-18.125	-18.75	-24.375	-31.875	-30	-33.75	-30	-31.875	-29.375	-29.375	-28.75	-36.875	-32.5
-3.75	0	-8.125	-11.25	-19.375	-18.75	-18.125	-26.25	-30	-28.125	-36.875	-27.5	-30.625	-28.125	-26.875	-29.375	-36.25	-31.875
0	-1.875	-3.125	-11.25	-15	-18.75	-21.875	-24.375	-30	-28.125	-39.375	-22.5	-30	-22.5	-25	-24.375	-33.75	-31.25
0	0	-6.25	-11.25	-16.25	-17.5	-25.625	-20.625	-28.125	-31.875	-43.125	-26.25	-31.875	-23.125	-29.375	-26.25	-33.75	-30
-1.25	0	-6.875	-11.875	-18.125	-17.5	-22.5	-21.25	-25.625	-35	-42.5	-30.625	-30.625	-26.875	-31.875	-27.5	-31.875	-30.625
0.625	0	-7.5	-15.625	-18.125	-20	-20	-26.25	-26.875	-30.625	-48.125	-30	-31.875	-28.75	-26.875	-30.625	-31.25	-30.625
-0.625	0	-7.5	-11.875	-14.375	-17.5	-20.625	-27.5	-27.5	-29.375	-55	-28.125	-30	-30	-26.25	-30	-31.25	-29.375
-1.25	0	-10	-10	-13.125	-20.625	-19.375	-26.25	-30	-27.5	-55.625	-26.875	-30.625	-28.125	-30	-28.125	-30.625	-29.375
-3.125	2.5	-6.875	-11.25	-13.75	-22.5	-17.5	-21.25	-29.375	-31.25	-55.625	-23.125	-30	-28.75	-30	-24.375	-30.625	-33.125
1.25	1.875	-3.125	-8.75	-16.25	-17.5	-20	-23.125	-29.375	-32.5	-56.25	-25.625	-30	-28.75	-33.125	-23.125	-31.25	-31.25
0.625	-2.5	-3.75	-10	-15.625	-15.625	-18.75	-23.125	-30	-27.5	-60	-27.5	-30.625	-26.875	-33.75	-23.75	-31.25	-29.375
1.875	-1.875	0	-8.125	-16.875	-16.25	-19.375	-22.5	-36.25	-25.625	-60.625	-28.125	-30	-27.5	-33.125	-25.625	-35.625	-26.875
3.75	-3.125	-2.5	-9.375	-15.625	-17.5	-22.5	-24.375	-36.875	-29.375	-63.75	-26.25	-29.375	-30.625	-30	-25.625	-33.125	-25.625
-1.875	-3.75	-5	-12.5	-16.25	-18.75	-20	-21.25	-30	-29.375	-65.625	-26.875	-28.125	-33.125	-27.5	-26.25	-30	-31.25
1.875	0	-8.125	-11.875	-16.875	-18.75	-20	-22.5	-24.375	-29.375	-66.875	-30	-31.25	-29.375	-26.875	-25.625	-30	-33.75
1.25	0.625	-8.75	-11.25	-17.5	-18.125	-20	-25.625	-30.625	-28.75	-70.625	-28.75	-33.125	-30.625	-30	-27.5	-31.875	-35.625
4.375	0	-5.625	-11.875	-18.125	-19.375	-23.125	-23.75	-31.875	-29.375	-69.375	-26.25	-30.625	-28.75	-31.25	-26.875	-33.125	-36.25
1.875	0	-5	-10	-15.625	-18.75	-22.5	-21.25	-30	-27.5	-71.875	-27.5	-30	-25.625	-29.375	-26.25	-36.25	-32.5
1.25	2.5	-9.375	-5.625	-12.5	-18.75	-18.125	-21.875	-26.25	-29.375	-70.625	-29.375	-26.875	-27.5	-28.75	-24.375	-30	-29.375
1.25	3.125	-7.5	-9.375	-13.75	-14.375	-17.5	-21.25	-31.875	-26.875	-73.125	-30	-26.875	-28.75	-31.25	-25.625	-31.25	-28.125
0	-3.125	-7.5	-9.375	-16.25	-18.125	-20	-21.25	-29.375	-26.25	-71.875	-27.5	-29.375	-27.5	-31.875	-26.25	-33.75	-33.125
-1.875	-2.5	-7.5	-6.25	-16.25	-16.875	-21.875	-19.375	-25	-30	-67.5	-23.125	-29.375	-25.625	-28.125	-26.875	-32.5	-33.125
2.5	0	-5	-8.125	-15.625	-19.375	-25	-20.625	-28.75	-31.875	-71.25	-25.625	-29.375	-28.125	-30	-31.25	-30.625	-30
