-11.875	-8.125	-19.375	-28.75	-10	-8.125	-16.875	-11.875	-19.375	-16.25	-11.875	-11.25	-13.75	-13.125
-10	-6.875	-18.125	-31.25	-13.125	-12.5	-13.125	-10.625	-15.625	-15	-13.125	-10	-13.125	-10.625
-10	-9.375	-18.75	-32.5	-13.125	-10	-13.125	-13.125	-13.75	-14.375	-11.25	-10	-13.75	-10.625
-13.125	-8.75	-16.875	-31.25	-13.125	-10.625	-13.75	-13.75	-13.75	-12.5	-14.375	-10.625	-15.625	-14.375
-16.25	-12.5	-17.5	-31.25	-13.75	-10	-15	-12.5	-13.125	-14.375	-12.5	-9.375	-16.875	-18.75
-14.375	-10	-17.5	-33.125	-16.25	-10.625	-15	-13.125	-14.375	-20	-10.625	-8.75	-11.25	-18.75
-13.125	-7.5	-18.125	-33.125	-15.625	-9.375	-13.125	-12.5	-16.25	-20.625	-11.25	-10.625	-10.625	-16.25
-16.25	-8.75	-18.125	-33.125	-11.875	-8.75	-10	-11.25	-16.875	-18.125	-13.125	-10.625	-13.125	-16.25
-12.5	-10	-17.5	-30.625	-10.625	-11.25	-10.625	-11.875	-16.875	-17.5	-14.375	-13.125	-15	-18.125
-11.25	-10.625	-16.25	-30.625	-10	-6.875	-14.375	-11.875	-16.25	-17.5	-10	-10.625	-11.25	-15.625
-13.75	-10	-18.75	-31.25	-10	-6.875	-12.5	-10	-17.5	-20	-10	-10	-11.25	-14.375
-16.25	-7.5	-21.875	-31.25	-10.625	-10	-13.125	-10.625	-16.25	-18.75	-13.75	-11.25	-13.125	-16.25
-15.625	-10	-18.75	-32.5	-10	-8.125	-13.125	-10.625	-19.375	-16.875	-13.125	-9.375	-14.375	-16.875
-16.875	-11.25	-19.375	-31.25	-11.875	-5	-10	-13.125	-17.5	-14.375	-10.625	-10.625	-15.625	-16.25
-11.25	-11.875	-20	-31.875	-12.5	-6.875	-15	-13.75	-15	-13.125	-8.75	-10	-11.875	-16.25
-10.625	-8.75	-15.625	-30.625	-13.125	-10	-18.125	-15.625	-14.375	-11.875	-13.125	-10.625	-13.75	-15.625
-14.375	-10	-16.25	-30	-11.875	-11.875	-15	-11.875	-16.25	-15	-13.125	-13.125	-16.25	-15.625
-14.375	-11.875	-17.5	-31.25	-11.875	-11.875	-15.625	-8.75	-15	-18.125	-13.75	-11.875	-12.5	-15
-11.25	-11.25	-19.375	-28.75	-10.625	-6.25	-16.875	-9.375	-13.125	-15.625	-11.25	-11.875	-12.5	-16.25
-13.125	-11.875	-20	-30	-11.875	-10	-16.875	-10.625	-15	-15	-13.75	-12.5	-13.75	-17.5
-14.375	-13.125	-16.875	-30.625	-13.75	-10.625	-16.875	-12.5	-13.125	-18.75	-12.5	-9.375	-13.75	-18.75
