-56.875	-55	-50.625	-53.125	-53.125	-45	-55	-48.125	-55.625	-55.625
-60.625	-53.75	-51.25	-53.125	-49.375	-46.25	-50	-45.625	-52.5	-53.125
-61.875	-53.75	-50	-57.5	-49.375	-48.125	-50	-48.125	-51.25	-53.75
-56.875	-58.75	-50.625	-54.375	-48.75	-44.375	-50	-48.75	-53.75	-54.375
-55	-58.75	-51.25	-51.875	-48.75	-48.125	-53.125	-49.375	-51.875	-55.625
-60	-55	-50	-53.75	-50	-50	-53.75	-50	-56.25	-59.375
-56.875	-55.625	-50	-52.5	-53.75	-48.75	-52.5	-50	-56.875	-58.125
-55	-56.25	-53.125	-50.625	-50.625	-46.25	-50	-50.625	-53.75	-51.875
-53.125	-55.625	-53.125	-51.875	-51.875	-47.5	-48.75	-48.125	-51.875	-55.625
-56.25	-57.5	-50	-52.5	-50.625	-45.625	-49.375	-45.625	-50.625	-58.125
-55	-56.25	-49.375	-52.5	-51.25	-46.25	-51.25	-49.375	-50	-55.625
-54.375	-57.5	-50	-50.625	-51.25	-48.125	-50.625	-50.625	-50	-51.25
-51.25	-55.625	-52.5	-51.875	-50.625	-49.375	-50.625	-47.5	-53.75	-48.75
-55.625	-51.875	-54.375	-50.625	-48.125	-48.75	-52.5	-47.5	-56.25	-53.125
-56.25	-56.875	-52.5	-48.75	-49.375	-50	-51.875	-48.125	-53.75	-55
-56.875	-53.75	-50	-55	-50.625	-48.125	-50.625	-48.75	-50	-54.375
-56.25	-51.875	-48.75	-53.75	-51.875	-46.875	-48.125	-48.125	-46.875	-55.625
-58.75	-56.875	-51.875	-51.875	-50	-50.625	-51.25	-50	-50	-56.25
-59.375	-58.125	-55.625	-50	-49.375	-46.25	-51.25	-47.5	-50	-55.625
-58.125	-54.375	-54.375	-50	-48.125	-45.625	-49.375	-46.875	-49.375	-55.625
-55.625	-53.125	-51.875	-51.25	-51.25	-45.625	-46.875	-47.5	-53.125	-58.125
-57.5	-55.625	-50.625	-54.375	-49.375	-46.875	-47.5	-49.375	-54.375	-59.375
-55	-53.75	-50	-51.875	-48.125	-48.75	-49.375	-48.75	-56.25	-59.375
-53.125	-54.375	-50.625	-49.375	-50.625	-50.625	-48.75	-50	-53.75	-58.125
-55.625	-57.5	-51.25	-50.625	-53.125	-50	-50	-47.5	-54.375	-52.5
