-58.125	-50	-56.875	-50.625	-55	-51.25	-46.875	-43.125	-43.75
-58.125	-52.5	-56.25	-49.375	-49.375	-49.375	-46.875	-43.125	-40.625
-60	-54.375	-52.5	-49.375	-51.25	-53.125	-46.25	-47.5	-43.125
-60.625	-55.625	-54.375	-51.25	-51.875	-55	-45.625	-44.375	-44.375
-63.125	-55	-54.375	-56.875	-50	-51.875	-46.875	-42.5	-43.125
-61.875	-53.75	-56.875	-57.5	-53.75	-50.625	-45.625	-45	-43.125
-63.125	-53.75	-55	-56.875	-51.875	-50	-45.625	-46.875	-43.75
-63.75	-53.125	-56.875	-58.125	-50	-55.625	-43.75	-45	-43.75
-61.875	-51.875	-60	-56.875	-50	-53.125	-46.875	-43.125	-45
-63.75	-50	-56.875	-53.125	-50	-53.125	-50	-45	-43.75
-60	-52.5	-53.125	-53.125	-49.375	-54.375	-45.625	-48.125	-41.25
-55.625	-53.75	-53.75	-53.75	-51.875	-54.375	-46.25	-48.125	-40
-55	-51.875	-54.375	-56.25	-51.25	-54.375	-46.875	-46.25	-42.5
-61.875	-51.875	-55	-57.5	-50	-49.375	-46.25	-46.875	-41.875
-61.875	-57.5	-56.875	-55.625	-50	-50	-46.875	-45	-41.25
-60.625	-56.875	-55.625	-56.25	-51.875	-50	-47.5	-43.75	-41.25
-63.125	-56.875	-55	-54.375	-50.625	-51.875	-45.625	-45.625	-40.625
-60.625	-58.75	-58.75	-52.5	-50.625	-50	-50	-42.5	-40.625
-61.875	-57.5	-57.5	-51.875	-53.125	-50	-50	-45	-41.875
-63.125	-55	-56.25	-50.625	-52.5	-48.75	-44.375	-46.25	-42.5
-63.125	-53.125	-58.75	-55.625	-53.125	-50	-46.25	-42.5	-43.75
-57.5	-56.25	-59.375	-53.75	-51.25	-50.625	-45	-43.125	-40
-60	-57.5	-60	-55.625	-50.625	-51.875	-42.5	-46.875	-39.375
-63.125	-55	-56.875	-56.875	-50.625	-51.25	-44.375	-48.75	-40.625
-61.25	-54.375	-53.75	-56.25	-53.125	-53.125	-43.75	-46.875	-40.625
-61.25	-57.5	-53.75	-53.125	-49.375	-52.5	-45.625	-42.5	-42.5
-58.75	-56.25	-60	-51.875	-50	-50.625	-46.25	-43.75	-43.125
-61.875	-53.125	-58.125	-50.625	-53.125	-50.625	-48.125	-48.125	-41.25
-58.125	-51.25	-54.375	-51.25	-53.125	-50	-48.125	-48.75	-40
-57.5	-50	-56.875	-53.125	-51.25	-51.875	-46.25	-48.125	-41.875
-58.75	-54.375	-55	-54.375	-50.625	-53.75	-48.125	-45.625	-44.375
-60	-55.625	-56.875	-53.125	-50	-50	-46.875	-45.625	-44.375
-59.375	-54.375	-57.5	-55.625	-50	-51.25	-45	-48.125	-43.75
-59.375	-53.75	-55.625	-55.625	-51.875	-52.5	-46.25	-45.625	-43.125
-60	-53.125	-54.375	-53.125	-50	-50.625	-44.375	-46.875	-41.875
-60	-50.625	-58.125	-53.125	-48.125	-51.25	-45	-45.625	-43.125
-60	-53.75	-57.5	-52.5	-47.5	-50	-46.25	-46.25	-43.75
-58.75	-56.25	-56.25	-53.125	-48.75	-49.375	-50	-44.375	-44.375
-56.875	-53.125	-58.125	-51.25	-50.625	-50.625	-48.125	-43.75	-43.125
-60	-55	-57.5	-51.875	-50.625	-46.875	-40.625	-45.625	-40
-55	-53.125	-58.125	-53.75	-51.875	-45.625	-43.75	-45	-40.625
-55	-51.875	-57.5	-52.5	-50.625	-48.125	-46.875	-44.375	-40.625
-56.875	-55	-53.125	-51.875	-51.875	-50	-45	-41.875	-41.875
-60.625	-53.75	-50.625	-50.625	-50.625	-50	-46.25	-45	-41.875
