-13.75	-12.5	-10.625	-13.125	-10	-16.875	-16.875	-11.875	-11.25	-10.625	-14.375	-16.875	-20	-60	-30	-30.625	-29.375	-33.75	-28.75	-30	-30.625	-24.375	-23.75	-25	-31.875
-11.875	-13.125	-13.125	-12.5	-10	-16.25	-16.875	-10.625	-11.25	-10.625	-13.75	-19.375	-20	-57.5	-31.25	-33.75	-30	-33.125	-28.75	-30	-29.375	-28.125	-26.25	-25	-31.875
-11.875	-12.5	-13.125	-15	-15	-18.75	-16.25	-13.125	-15	-9.375	-16.875	-18.125	-23.125	-58.125	-31.875	-37.5	-30	-31.25	-30	-30	-28.125	-28.75	-26.875	-27.5	-30
-11.25	-13.125	-10.625	-9.375	-15.625	-18.75	-13.75	-15.625	-14.375	-9.375	-15	-16.25	-20	-57.5	-33.125	-34.375	-35.625	-33.125	-30	-26.875	-25	-28.125	-25.625	-30	-30.625
-9.375	-14.375	-10.625	-10	-13.125	-20	-15.625	-13.125	-15.625	-10.625	-15	-15.625	-21.25	-58.125	-30.625	-30	-35	-30	-29.375	-23.75	-27.5	-27.5	-27.5	-25.625	-28.75
-10	-13.125	-10	-10	-11.25	-17.5	-12.5	-13.75	-13.125	-11.25	-18.125	-18.125	-21.25	-58.125	-30.625	-31.25	-34.375	-29.375	-27.5	-27.5	-30	-30	-26.25	-23.125	-30
-13.75	-12.5	-10.625	-8.75	-14.375	-18.125	-11.25	-15.625	-13.125	-9.375	-18.125	-15.625	-20	-59.375	-34.375	-33.125	-31.875	-30	-24.375	-29.375	-30	-28.75	-25.625	-23.75	-28.75
-13.75	-13.125	-13.125	-13.125	-15.625	-16.875	-13.75	-15	-16.25	-11.25	-15.625	-13.75	-20	-57.5	-28.75	-31.25	-31.25	-28.75	-28.75	-29.375	-25.625	-25.625	-30	-27.5	-31.25
-13.75	-10.625	-12.5	-14.375	-11.875	-19.375	-13.125	-13.125	-13.125	-11.875	-14.375	-16.875	-20	-59.375	-27.5	-35.625	-30	-29.375	-30.625	-30	-24.375	-26.875	-30	-26.875	-30
-18.125	-11.25	-10	-11.875	-13.125	-16.25	-14.375	-15.625	-11.25	-11.25	-18.75	-18.125	-22.5	-60	-31.25	-33.75	-30.625	-29.375	-30.625	-32.5	-28.125	-28.75	-30	-25.625	-30.625
-16.25	-11.25	-11.25	-9.375	-13.125	-11.875	-16.875	-18.125	-16.875	-13.75	-14.375	-20.625	-24.375	-58.125	-31.875	-30	-31.875	-28.75	-28.75	-30	-30	-25.625	-25.625	-30	-33.125
-13.75	-13.75	-11.25	-11.25	-11.875	-14.375	-16.875	-18.75	-16.25	-11.875	-13.75	-17.5	-22.5	-56.875	-30.625	-31.25	-30.625	-30.625	-27.5	-29.375	-26.875	-22.5	-26.875	-30.625	-31.875
