500	Time (ms)	Amplitude	Rise (ms)	Decay (ms)	Area	Baseline	Noise	Group	Channel	10-90Rise	HalfWidth	Rise50	Peak Dir	Burst#	BurstE#	10-90Slope	Rel Time	
1	173.85	26.456	2.4	4.2	110.9	-32.897	1.311	0	0	2.04	4	1.75	-1	0	0	-10.37	173.85	
2	341.75	15.286	1.05	1.45	24.23	-34.551	2.856	0	0	0.75	1.58	0.65	-1	0	0	-16.37	341.75	
3	997.95	21.982	3.3	3.45	101.29	-33.647	0.874	0	0	3.08	5.35	2.4	-1	0	0	-5.71	383.55	
4	1685.65	37.509	2.6	5	184.19	-37.035	-1.887	0	0	2.32	4.55	2.05	-1	0	0	-12.91	456.85	
5	2484.05	19.723	1.4	4.3	74.87	-36.511	-2.157	0	0	1.24	4.18	1.1	-1	0	0	-12.73	26.45	
6	5252.15	19.716	2.35	3.9	82.51	-38.696	-0.036	0	0	2.18	3.92	1.65	-1	0	0	-7.25	336.95	
7	5438.15	9.851	1.5	1.45	18.63	-38.39	-1.348	0	0	1.44	0.77	0.6	-1	0	0	-5.47	522.95	
8	5542.65	18.456	1.75	5.55	80.54	-35.622	-2.281	0	0	1.58	3.27	0.8	-1	0	0	-9.35	13.05	
9	6380.25	22.565	1.35	4.25	78.28	-35.855	-0.94	0	0	0.75	3.86	0.35	-1	0	0	-24.1	236.25	
10	7208.50	17.028	2.9	3.85	74.91	-36.664	-0.102	0	0	2.49	4.77	2.25	-1	0	0	-5.47	450.10	
11	8962.45	46.58	4.6	5.65	277.75	-36.904	0.634	0	0	3.95	5.58	1.25	-1	0	0	-9.44	360.85	
12	9141.70	39.228	3.1	6.45	255.2	-34.878	0.423	0	0	2.91	6.86	2.2	-1	0	0	-10.77	540.10	
13	10759.00	14.587	2.75	2.8	54.78	-38.638	-2.251	0	0	2.43	4.21	2.05	-1	0	0	-4.8	314.20	
14	11299.20	18.791	1.75	4.2	81.13	-35.745	-0.313	0	0	1.6	5.14	1.05	-1	0	0	-9.39	240.00	
15	11375.30	10.791	1.1	2.55	22.21	-36.722	-0.641	0	0	0.55	0.41	0.3	-1	0	0	-15.81	316.10	
16	16119.10	29.895	1.95	6.15	157.08	-34.857	1.902	0	0	1.55	5.45	1.15	-1	0	0	-15.42	144.70	
17	16353.80	23.039	2.65	3.8	90.74	-36.583	-0.612	0	0	2.11	4.48	1.6	-1	0	0	-8.74	379.40	
18	16413.10	20.714	1.1	5.6	90.85	-37.545	-0.597	0	0	0.82	0.47	0.35	-1	0	0	-20.25	438.70	
19	16526.15	8.619	2.3	0.75	16.19	-36.43	0.947	0	0	2.19	0.96	0.25	-1	0	0	-3.15	551.75	
20	16582.35	12.007	1.2	1.3	19.28	-37.735	2.018	0	0	1.08	1.66	0.45	-1	0	0	-8.9	607.95	
21	17828.20	11.512	1.35	2.05	22.88	-36.234	0.699	0	0	0.81	1.05	0.65	-1	0	0	-11.38	10.60	
22	18417.65	17.1	4.05	2	57.22	-35.374	-1.625	0	0	3.3	3.79	2.25	-1	0	0	-4.14	600.05	
23	18590.15	22.244	3.15	3.75	100.44	-37.873	3.541	0	0	2.89	4.31	2.25	-1	0	0	-6.16	158.15	
24	18970.35	22.441	2.55	3.05	81.16	-38.092	-2.288	0	0	2.41	3.49	1.75	-1	0	0	-7.44	538.35	
25	20372.15	24.918	2.35	2.35	82.37	-38.164	-0.233	0	0	2.21	3.07	2.05	-1	0	0	-9.04	96.95	
26	20666.00	16.729	1.55	3.05	43.96	-40.831	1.231	0	0	1.4	2.66	0.7	-1	0	0	-9.54	390.80	
27	20878.00	35.811	2.15	5.5	185.19	-37.873	-4.109	0	0	1.86	5.26	1.85	-1	0	0	-15.36	602.80	
28	21715.15	12.284	1.9	3.85	46.12	-38.259	-1.953	0	0	1.78	3.3	0.65	-1	0	0	-5.51	211.15	
29	22690.50	24.168	3.05	4.9	110	-36.78	0.058	0	0	1.88	4.25	1.3	-1	0	0	-10.26	572.10	
30	22788.00	38.558	2.05	5.5	191.36	-36.948	-0.138	0	0	1.75	5.15	1.5	-1	0	0	-17.58	55.20	
31	23557.90	28.088	1.95	3.4	102.32	-39.644	1.625	0	0	1.74	3.53	1.35	-1	0	0	-12.92	210.70	
32	28638.20	29.887	1.85	5.4	134.19	-36.605	3.199	0	0	1.52	3.8	1.35	-1	0	0	-15.73	375.80	
33	30534.90	21.406	1.45	4.2	82.99	-32.044	0.903	0	0	1.33	4.24	0.9	-1	0	0	-12.9	429.30	
34	30555.95	57.786	4.2	5.7	373.05	-32.605	-0.641	0	0	3.2	6.41	2.3	-1	0	0	-14.43	450.35	
35	30178.10	11.643	1.1	2.3	24.97	-33.086	-0.772	0	0	0.92	1.18	0.85	-1	0	0	-10.1	72.50	
36	31858.10	14.055	2.55	2.6	44.97	-34.121	-1.479	0	0	2.44	2.33	1.7	-1	0	0	-4.6	523.70	
37	32798.60	24.889	1.75	5.2	112.34	-30.616	0.43	0	0	1.62	5.1	1.3	-1	0	0	-12.27	235.40	
38	33162.25	12.751	1	3.25	33	-32.306	1.559	0	0	0.92	1.95	0.15	-1	0	0	-11.11	599.05	
39	33604.85	18.339	2.2	2.55	55.29	-32.7	1.45	0	0	2.07	3.54	1.5	-1	0	0	-7.07	427.25	
40	33627.80	27.323	3.25	2.4	92.62	-33.363	-1.53	0	0	2.91	4.29	2.3	-1	0	0	-7.52	450.20	
41	34165.85	15.629	2.45	3.2	52.61	-30.813	-0.306	0	0	2.19	2.81	1.15	-1	0	0	-5.7	373.85	
42	34621.75	34.463	1.4	4.3	128.93	-32.751	0.372	0	0	0.94	4.31	1.05	-1	0	0	-29.28	215.35	
43	35844.20	15.483	3.8	4.05	70.29	-32.19	0.743	0	0	3.38	2.66	1.85	-1	0	0	-3.67	209.00	
44	36199.10	40.197	2.4	5.4	200.61	-32.787	-3.352	0	0	1.98	5.07	1.2	-1	0	0	-16.25	563.90	
45	36380.50	15.17	3	2.05	46.21	-32.86	-1.443	0	0	2.81	2.29	1.35	-1	0	0	-4.31	130.90	
46	36940.05	15.031	1.85	3.8	54.25	-33.392	-0.627	0	0	1.57	3.52	1	-1	0	0	-7.64	76.05	
47	37221.35	13.873	0.95	3.4	37.82	-33.275	-3.308	0	0	0.78	2.09	0.5	-1	0	0	-14.24	357.35	
48	38071.45	23.578	3	4.65	121.95	-33.48	1.632	0	0	2.87	6.12	2.3	-1	0	0	-6.57	593.05	
49	39160.25	22.784	1.4	3.9	81.61	-31.694	-1.326	0	0	1.17	3.75	0.9	-1	0	0	-15.59	453.05	
50	39271.45	29.589	2.35	5.05	155.05	-33.101	2.259	0	0	2.19	5.67	1.8	-1	0	0	-10.8	564.25	
51	39582.55	15.687	2.35	4.1	67.88	-31.614	0.182	0	0	2.24	3.37	1.75	-1	0	0	-5.59	260.95	
52	41366.95	30.951	1.5	3.3	101.66	-32.459	1.384	0	0	0.93	3.95	0.9	-1	0	0	-26.66	202.15	
53	43661.95	20.824	3.95	3.75	111.25	-31.345	0.634	0	0	3.77	4.91	2.9	-1	0	0	-4.42	39.55	
54	44668.40	10.769	2	0.95	19.05	-35.461	2.208	0	0	1.89	0.95	0.4	-1	0	0	-4.57	431.60	
55	44915.20	24.219	2.15	2.65	78.82	-37.166	-1.516	0	0	2.01	3.69	1.9	-1	0	0	-9.64	64.00	
56	45834.70	12.736	2.2	1.7	33.19	-33.239	-1.166	0	0	2.07	3.11	1.6	-1	0	0	-4.92	369.10	
57	45932.05	23.053	1.7	3.9	90.82	-35.869	-0.342	0	0	1.28	3.98	1.25	-1	0	0	-14.4	466.45	
58	46169.85	28.54	1.35	3.55	86.32	-35.374	1.537	0	0	1.17	2.72	1	-1	0	0	-19.44	89.85	
59	46715.70	26.66	1.2	4.75	99.31	-33.567	-0.59	0	0	1.06	3.41	0.85	-1	0	0	-20.13	21.30	
60	46986.45	22.733	2.5	3.15	82.37	-34.004	2.485	0	0	1.73	3.9	1.15	-1	0	0	-10.54	292.05	
61	47081.70	16.408	1.6	2.75	45.84	-35.775	-0.401	0	0	1.43	2.68	1.25	-1	0	0	-9.2	387.30	
62	47634.60	24.904	2.1	5.6	115.1	-33.633	-0.86	0	0	1.54	4.34	0.95	-1	0	0	-12.95	325.80	
63	47767.60	10.791	1.15	5.55	59.57	-32.022	-1.086	0	0	1.06	4.53	0.15	-1	0	0	-8.11	458.80	
64	47953.85	12.401	1.9	1.4	24.62	-33.02	2.004	0	0	1.78	1.32	1.1	-1	0	0	-5.57	30.65	
65	49267.85	14.514	1	2.75	34.31	-34.274	2.404	0	0	0.87	1.85	0.4	-1	0	0	-13.32	115.85	
66	52734.15	30.164	2.35	4.65	138.05	-33.37	1.865	0	0	1.88	4.42	1.5	-1	0	0	-12.87	510.15	
67	53154.70	43.17	3.2	5.4	237.56	-32.816	0.036	0	0	2.45	6.03	2.05	-1	0	0	-14.09	316.30	
68	54264.75	13.144	2	3.8	42.65	-32.62	-1.304	0	0	1.01	0.82	0.2	-1	0	0	-10.37	197.55	
69	56770.40	13.953	1.6	1.95	30.75	-33.669	-0.481	0	0	1.41	2.63	0.8	-1	0	0	-7.94	245.60	
70	56959.25	42.245	2.9	6.05	242.33	-31.84	2.084	0	0	2.56	5.81	2.1	-1	0	0	-13.21	434.45	
71	58047.90	19.68	1.95	5.5	87.99	-32.525	1.559	0	0	1.43	4.48	0.75	-1	0	0	-11.05	294.30	
72	59871.95	9.239	1.95	0.35	11.16	-36.445	0.539	0	0	1.83	0.47	0.4	-1	0	0	-4.04	275.15	
73	60628.80	12.685	2.15	1.25	25.92	-35.52	0.452	0	0	2.04	0.28	0.15	-1	0	0	-4.96	417.60	
74	63287.15	12.073	1.7	4.85	45.92	-30.689	1.72	0	0	1.31	1.33	1.1	-1	0	0	-7.38	3.95	
75	65738.55	17.399	2.55	3.95	74.05	-32.117	-0.401	0	0	2.42	4.73	1.65	-1	0	0	-5.76	10.55	
76	66622.15	11.17	2.45	0.3	18.88	-31.906	-1.239	0	0	1.92	1.84	1.65	-1	0	0	-4.66	279.75	
77	67829.15	10.754	4.7	1.3	39.07	-32.51	1.151	0	0	4.24	1.29	0.95	-1	0	0	-2.03	257.95	
78	67995.50	30.616	2.4	5.45	154.07	-32.991	2.106	0	0	1.83	5.09	1.2	-1	0	0	-13.39	424.30	
79	68614.85	11.497	1.35	3.15	33.91	-31.476	-0.59	0	0	1.21	1.34	1.2	-1	0	0	-7.58	429.25	
80	68790.10	11.643	2.95	4.5	56.98	-31.964	1.093	0	0	2.83	5.35	1.85	-1	0	0	-3.29	604.50	
81	68852.85	16.911	1.35	4.7	68.6	-32.459	-2.594	0	0	1.2	4.43	0.65	-1	0	0	-11.32	52.85	
82	69816.75	10.288	1	3.8	38.19	-29.414	0.153	0	0	0.88	3.25	0.35	-1	0	0	-9.39	402.35	
83	69789.55	10.558	1.15	1.6	17.11	-30.223	0.182	0	0	1.07	0.73	0.65	-1	0	0	-7.9	375.15	
