500	Time (ms)	Amplitude	Rise (ms)	Decay (ms)	Area	Baseline	Noise	Group	Channel	10-90Rise	HalfWidth	Rise50	Peak Dir	Burst#	BurstE#	10-90Slope	Rel Time	
48	37352.25	16.907	4.15	3.55	88.14	-10.315	-1.038	0	0	3.83	4.56	3.2	-1	0	0	-3.53	488.25	
49	37727.15	12.756	1.1	2.55	25.59	-11.658	0.244	0	0	0.66	0.52	0.15	-1	0	0	-15.48	248.75	
50	40775.50	36.377	1.45	5.6	166.89	-10.742	-0.61	0	0	0.82	4.21	1.2	-1	0	0	-35.28	225.10	
51	41120.00	13.306	1.35	3.8	46.91	-15.503	2.014	0	0	1	2.82	0.8	-1	0	0	-10.62	569.60	
52	41221.85	16.968	1.2	4.25	58.68	-9.338	0.916	0	0	0.99	3.91	0.85	-1	0	0	-13.65	57.05	
53	44367.60	15.564	3.75	2.35	56.99	-8.606	-1.587	0	0	3.36	2.74	2.4	-1	0	0	-3.7	130.80	
54	44379.85	26.367	1.6	4.05	101.26	-8.728	-1.587	0	0	0.99	4.58	0.9	-1	0	0	-21.33	143.05	
55	44740.85	18.25	2.05	4.05	69.74	-11.108	0.916	0	0	1.77	3.54	1.45	-1	0	0	-8.25	504.05	
56	44777.10	14.404	3.7	2.9	62.92	-12.878	-2.075	0	0	3.6	2.09	0.2	-1	0	0	-3.2	540.30	
57	44784.55	15.503	3.4	2.35	63.22	-13.611	-2.075	0	0	3.26	2.12	0.2	-1	0	0	-3.8	547.75	
58	45134.70	8.118	3	1.3	22.51	-11.475	0.427	0	0	2.84	2.37	2.05	-1	0	0	-2.28	283.50	
59	45204.25	11.169	2.25	2.15	26.38	-11.292	2.563	0	0	2.15	0.74	0.65	-1	0	0	-4.16	353.05	
60	46160.40	10.437	0.8	1.35	12.44	-10.803	-1.221	0	0	0.6	0.48	0.2	-1	0	0	-14.03	80.40	
61	46599.40	9.827	1.4	5.85	44.27	-9.766	1.587	0	0	0.64	2.29	0.5	-1	0	0	-12.33	519.40	
62	46748.15	16.174	2.7	5.1	79.58	-9.46	0.183	0	0	2.54	4.57	1.15	-1	0	0	-5.09	53.75	
63	47837.75	19.959	2.1	2.7	62.53	-9.644	-0.061	0	0	1.94	3.09	1.4	-1	0	0	-8.21	528.95	
64	48319.50	12.39	1.15	3.75	37.22	-11.108	0.305	0	0	1.04	0.94	0.8	-1	0	0	-9.51	396.30	
65	49683.25	23.56	2.2	5.65	122.77	-10.376	2.136	0	0	1.73	5.59	1.55	-1	0	0	-10.91	531.25	
66	49770.85	37.109	1.55	5.2	181.53	-10.925	0.061	0	0	0.65	4.87	1.2	-1	0	0	-45.47	4.45	
67	49872.95	35.034	1	5.55	158.09	-10.742	0.61	0	0	0.82	5.67	0.7	-1	0	0	-34.24	106.55	
68	50017.95	28.442	2.15	4.15	129.46	-10.559	0.854	0	0	1.73	5.07	1.9	-1	0	0	-13.17	251.55	
69	50708.50	17.639	0.85	4.75	61.27	-12.207	-1.16	0	0	0.59	2.89	0.5	-1	0	0	-23.93	327.70	
70	50910.55	18.86	1.9	5.9	94.42	-10.498	1.404	0	0	1.65	5.03	1.55	-1	0	0	-9.16	529.75	
71	51907.55	33.386	2.05	4.2	141.02	-9.521	0.671	0	0	1.72	4.69	1.5	-1	0	0	-15.54	297.95	
72	52483.75	35.156	2	4.45	152.09	-11.353	0.732	0	0	1.53	4.71	1.6	-1	0	0	-18.42	259.75	
73	52722.20	14.893	2.4	1.75	37.16	-10.864	0.488	0	0	2.02	2.58	1.6	-1	0	0	-5.9	498.20	
74	53282.50	20.508	0.95	4.25	75.69	-11.78	0.488	0	0	0.61	3.79	0.7	-1	0	0	-26.75	444.10	
75	53306.55	29.419	1.75	5.25	128.72	-11.902	1.099	0	0	1.06	3.55	1.25	-1	0	0	-22.12	468.15	
76	54398.50	10.925	1.25	6.6	54.71	-9.705	1.282	0	0	1.13	2.67	0.15	-1	0	0	-7.74	331.30	
77	55047.50	9.216	2.4	2.55	28.5	-11.841	2.686	0	0	1.91	0.53	0.4	-1	0	0	-3.86	365.90	
78	55075.30	12.695	2.8	4.05	55.34	-10.193	0.61	0	0	2.06	3.58	1.2	-1	0	0	-4.93	393.70	
79	55206.45	18.066	1.55	4.85	76.45	-10.559	1.892	0	0	1.11	4.5	1.3	-1	0	0	-13.02	524.85	
80	56001.55	9.277	3.5	0.25	22.5	-10.864	0.977	0	0	3.37	0.31	0.2	-1	0	0	-2.2	91.15	
81	56642.50	46.936	1.65	4.65	203.89	-10.986	-0.854	0	0	1	5.16	1.15	-1	0	0	-37.71	117.70	
82	56558.40	11.536	1.05	1.65	18.1	-10.986	-1.953	0	0	0.96	0.57	0.45	-1	0	0	-9.63	33.60	
83	56748.70	21.057	2.4	2.95	83.08	-9.949	0.549	0	0	2.19	4.8	1.95	-1	0	0	-7.7	223.90	
84	59157.45	11.353	1.2	5.2	47.31	-12.207	0.61	0	0	1.05	2.71	0.6	-1	0	0	-8.62	175.05	
85	60027.00	18.982	2.7	4.05	84.61	-10.132	-0.854	0	0	2.55	4.81	2.1	-1	0	0	-5.96	430.20	
86	60127.50	14.404	0.8	2.1	27.97	-11.23	-1.343	0	0	0.63	2.51	0.5	-1	0	0	-18.24	530.70	
87	60608.70	29.053	1.15	6.6	148.32	-10.254	-0.061	0	0	0.9	6.54	0.9	-1	0	0	-25.77	397.50	
88	60973.35	32.898	2.85	6.9	214.49	-10.742	0.916	0	0	2.69	7.4	2.25	-1	0	0	-9.79	147.75	
89	61791.05	22.949	1.65	4.2	88.14	-10.437	-0.122	0	0	1.34	4.54	1.1	-1	0	0	-13.71	351.05	
90	62469.60	18.738	3.85	5.15	101.08	-8.667	-2.258	0	0	2.93	5.79	2.05	-1	0	0	-5.12	415.20	
91	62572.40	23.254	2.35	6	103.47	-9.033	-0.732	0	0	1.01	4.08	0.8	-1	0	0	-18.48	518.00	
92	63054.85	11.292	3.35	1.8	38.97	-10.193	3.357	0	0	3.24	3.93	2.25	-1	0	0	-2.79	386.05	
93	63733.55	13.428	3.7	1.7	43.34	-9.827	2.441	0	0	3.35	2.96	2.65	-1	0	0	-3.21	450.35	
94	63866.90	15.93	2.9	3.9	65.79	-11.23	-0.183	0	0	2.38	3.12	1.8	-1	0	0	-5.36	583.70	
95	64460.90	10.742	2.7	3.1	35.54	-9.949	0.122	0	0	2.6	0.36	0.2	-1	0	0	-3.31	563.30	
96	64675.85	10.071	1.1	2.35	22.03	-10.742	0.488	0	0	0.98	2.47	0.95	-1	0	0	-8.23	163.85	
97	65672.40	16.663	2.6	7.65	112.05	-9.521	0.244	0	0	2.46	6.45	1.4	-1	0	0	-5.42	546.00	
