500	Time (ms)	Amplitude	Rise (ms)	Decay (ms)	Area	Baseline	Noise	Group	Channel	10-90Rise	HalfWidth	Rise50	Peak Dir	Burst#	BurstE#	10-90Slope	Rel Time	
1	1393.65	11.301	1.55	0.45	12.26	0.036	0.312	0	0	1.41	0.51	0.15	-1	0	0	-6.4	164.85	
2	1456.60	9.507	1.15	1.15	13.29	-0.268	1.16	0	0	0.8	1.26	0.3	-1	0	0	-9.55	227.80	
3	1747.85	12.318	1.9	0.95	19.85	0.223	-1.437	0	0	1.77	1.17	0.35	-1	0	0	-5.56	519.05	
4	6005.80	7.918	2.6	1.4	18.56	-2.044	0.919	0	0	2.46	0.44	0.3	-1	0	0	-2.57	476.20	
5	6601.55	56.192	1.9	3.95	222.05	-2.374	-0.071	0	0	1.1	4.51	1.4	-1	0	0	-40.98	457.55	
6	6849.75	10.051	3.3	0.2	20.15	-1.723	1.018	0	0	2.89	0.26	0.15	-1	0	0	-2.78	91.35	
7	6836.85	7.828	1.2	1.7	14.37	-1.303	0.83	0	0	1.14	0.97	0.15	-1	0	0	-5.51	78.45	
8	7422.80	12.408	3.85	2.15	36.9	0.348	-2.892	0	0	2.28	0.53	0.4	-1	0	0	-4.36	50.00	
9	8099.85	24.03	2.35	3.95	101.91	-2.124	-0.982	0	0	2.2	4.51	1.9	-1	0	0	-8.74	112.65	
10	8497.05	20.638	2.15	4.45	90.6	-1.276	-0.848	0	0	1.99	4.8	1.55	-1	0	0	-8.32	509.85	
11	9387.40	10.444	1.9	2.05	26.34	-0.116	1.883	0	0	1.81	1.81	1.25	-1	0	0	-4.63	171.40	
12	9747.35	11.497	4.1	0.2	28.86	0.107	1.544	0	0	3.82	0.26	0.15	-1	0	0	-2.41	531.35	
13	10342.20	10.256	2.5	1.2	23.88	0.884	0.411	0	0	2.42	1.24	0.85	-1	0	0	-3.4	511.80	
14	12948.20	12.551	1.35	2.35	28.59	-0.295	-2.071	0	0	1.17	2.06	0.65	-1	0	0	-8.61	45.80	
15	13402.15	18.433	1.8	3.55	55.37	2.017	1.009	0	0	1.43	1.68	0.95	-1	0	0	-10.28	499.75	
16	14934.35	13.836	2.4	1.45	32.04	-0.571	-4.597	0	0	1.84	2.2	0.85	-1	0	0	-6.02	188.75	
17	15003.50	29.502	1.6	3.05	93.51	-0.902	-0.768	0	0	1.23	3.73	1.2	-1	0	0	-19.2	257.90	
18	16564.55	28.243	1.65	1.8	61.13	-1.116	-0.054	0	0	1.53	2.66	1.4	-1	0	0	-14.76	590.15	
19	17223.80	25.699	2.25	3	93.85	-1.589	-0.741	0	0	1.6	3.67	1.65	-1	0	0	-12.82	20.60	
20	17380.90	26.654	1.55	3.3	84.34	0.214	2.482	0	0	1.33	3.63	1.1	-1	0	0	-16.01	177.70	
21	18229.90	50.443	1.75	4.45	203.16	-1.143	1.5	0	0	1.04	4.37	1.2	-1	0	0	-38.83	412.30	
22	18908.80	10.506	1.7	2.1	25.5	-1.268	-2.142	0	0	1.6	0.5	0.3	-1	0	0	-5.26	476.80	
23	21788.55	11.292	2.95	1.05	29.26	-3.937	0.732	0	0	2.89	2.4	1.45	-1	0	0	-3.12	284.55	
24	22098.50	53.46	2.45	4.45	233.55	-2.071	0.893	0	0	1.46	4.68	1.6	-1	0	0	-29.31	594.50	
25	23014.30	17.424	1.4	2.1	38.3	-0.768	0.071	0	0	1.28	1.87	1.1	-1	0	0	-10.91	281.50	
26	24930.15	20.691	2.55	2.25	65.69	-2.151	3.044	0	0	2.22	3.28	2.1	-1	0	0	-7.47	354.15	
27	25209.35	8.319	1.65	1.25	14.18	-4.606	0.241	0	0	1.54	1.32	1.2	-1	0	0	-4.32	18.95	
28	25503.60	8.302	1.65	0.7	11.74	-4.463	-3.33	0	0	1.54	0.39	0.3	-1	0	0	-4.3	313.20	
29	25543.10	18.924	1.25	2.05	42.1	-3.196	0.803	0	0	1.1	2.77	0.85	-1	0	0	-13.75	352.70	
30	26470.55	45.052	2.1	5.7	236.29	-4.097	1.071	0	0	1.62	5.31	1.3	-1	0	0	-22.23	51.35	
31	27591.90	25.431	1.25	3.7	80.85	-5.204	-1.509	0	0	0.96	3.58	0.7	-1	0	0	-21.19	558.30	
32	27744.20	11.212	1.65	1.2	20.84	-5.427	1.794	0	0	1.52	1.31	1.2	-1	0	0	-5.91	96.20	
33	28215.00	12.122	1.6	1	20.2	-5.436	-2.651	0	0	1.42	1.61	0.7	-1	0	0	-6.81	567.00	
34	28482.50	13.747	1.45	2.15	34.01	-4.401	3.722	0	0	1.28	3.06	1	-1	0	0	-8.62	220.10	
35	28548.30	19.147	1.2	2.6	48.38	-3.919	0.393	0	0	1.08	2.67	0.45	-1	0	0	-14.22	285.90	
36	28719.05	11.524	2.3	1.2	26.98	-2.374	1.821	0	0	2.2	2.97	1.85	-1	0	0	-4.18	456.65	
37	29303.65	13.095	0.95	2.65	29.61	-4.285	-2.723	0	0	0.89	0.27	0.15	-1	0	0	-11.73	426.85	
38	29358.35	12.979	2	1.05	19.93	-6.025	0.5	0	0	1.5	1.18	1.05	-1	0	0	-6.92	481.55	
39	29379.70	16.023	1.65	2.3	38.89	-6.847	2.16	0	0	1.38	1.69	0.6	-1	0	0	-9.31	502.90	
40	29404.60	12.309	4.25	1.65	45.91	-7.364	0.553	0	0	4.13	1.98	0.7	-1	0	0	-2.38	527.80	
41	29401.50	13.595	1.3	1.7	25.12	-5.731	-0.866	0	0	1.08	1.65	0.6	-1	0	0	-10.04	524.70	
42	29484.10	10.372	0.7	1.6	15.74	-4.249	1.848	0	0	0.63	0.28	0.15	-1	0	0	-13.21	607.30	
43	29655.20	11.542	1.05	2.8	26.73	-7.498	-0.366	0	0	0.9	0.24	0.15	-1	0	0	-10.24	164.00	
44	29840.80	10.417	1.25	1.7	16.6	-6.641	1.509	0	0	1.1	0.98	0.35	-1	0	0	-7.59	349.60	
45	29964.70	32.322	1.45	4.25	116.2	-5.927	1.705	0	0	1.1	3.66	0.7	-1	0	0	-23.6	473.50	
46	29972.95	9.221	1.45	1.1	16.14	-10.881	1.705	0	0	1.37	1.06	0.2	-1	0	0	-5.39	481.75	
47	30245.35	13.256	2.2	2.2	37.99	-5.82	0.446	0	0	2.1	2.14	1.3	-1	0	0	-5.06	139.75	
48	30221.60	7.284	1.9	0.8	12.98	-4.999	-2.205	0	0	1.75	0.94	0.25	-1	0	0	-3.33	116.00	
49	30296.20	12.622	1.35	0.5	12.08	-6.972	2.062	0	0	1.01	0.67	0.55	-1	0	0	-10.03	190.60	
50	30402.90	10.515	1.1	1.85	17.78	-4.383	0.357	0	0	0.99	0.78	0.2	-1	0	0	-8.53	297.30	
51	30447.00	10.301	1.45	0.75	11.59	-5.802	-0.696	0	0	1.04	0.33	0.2	-1	0	0	-7.96	341.40	
52	30490.95	14.425	3.65	1.55	42.96	-5.249	-0.303	0	0	3.51	0.85	0.45	-1	0	0	-3.29	385.35	
53	30675.45	10.515	1.55	1.15	13.95	-6.445	2.517	0	0	1.24	0.69	0.15	-1	0	0	-6.79	569.85	
54	30885.70	7.57	1.4	1.35	12.85	-5.508	1.25	0	0	1.25	0.59	0.35	-1	0	0	-4.83	165.70	
55	31052.05	13.782	1.7	0.4	14.52	-4.82	-1.616	0	0	1.62	0.48	0.3	-1	0	0	-6.8	332.05	
56	31188.60	12.345	1.6	2.35	27.72	-5.534	-1.785	0	0	1.48	0.42	0.25	-1	0	0	-6.69	468.60	
57	31334.40	11.952	1.4	1.25	18.99	-3.437	1.821	0	0	1.33	1.07	0.9	-1	0	0	-7.19	153.60	
58	31473.85	10.221	2.15	1.05	19.43	-5.695	-2.526	0	0	2.03	0.76	0.4	-1	0	0	-4.03	293.05	
59	31733.40	21.013	2.2	2.75	64.17	-3.597	-1.294	0	0	2.01	2.99	1.55	-1	0	0	-8.34	552.60	
60	31816.65	26.02	1.85	3.55	91.13	-3.499	-0.437	0	0	1.63	3.87	1.45	-1	0	0	-12.78	21.45	
61	32135.10	20.977	2.15	2.5	56.9	-2.981	-0.411	0	0	1.97	2.63	1.2	-1	0	0	-8.52	339.90	
62	32616.90	11.363	1.3	2.05	22.72	-3.704	-3.517	0	0	1.15	1.45	0.25	-1	0	0	-7.9	207.30	
63	32728.45	11.676	3.1	0.65	24.52	-5.347	-1.044	0	0	2.44	0.35	0.2	-1	0	0	-3.82	318.85	
64	32783.40	15.282	1.55	2.05	33.99	-4.981	-2.803	0	0	1.43	1.12	0.45	-1	0	0	-8.53	373.80	
65	33077.25	16.826	2.15	2.65	40.2	-2.294	-1.928	0	0	2.05	0.85	0.35	-1	0	0	-6.57	53.25	
66	33716.90	18.647	1.45	3.25	53.7	-4.151	0.17	0	0	1.3	2.43	0.5	-1	0	0	-11.44	78.50	
67	34269.80	35.34	1.8	3.4	129.1	-5.838	1.5	0	0	1.25	4.35	1.4	-1	0	0	-22.63	17.00	
68	34387.20	16.344	3.35	2.6	60.02	-4.044	-1.991	0	0	3.28	1.29	0.15	-1	0	0	-3.98	134.40	
69	35067.05	10.408	1	1.65	14.84	-3.499	1.669	0	0	0.67	0.62	0.2	-1	0	0	-12.52	199.85	
70	35093.60	21.566	2.1	2.8	72.06	-3.928	-1.384	0	0	1.92	3.24	1.7	-1	0	0	-8.99	226.40	
71	35237.20	13.523	2.7	1.85	38.38	-5.151	3.097	0	0	2.37	2.56	2.1	-1	0	0	-4.56	370.00	
72	35387.25	12.426	4.35	2.4	44.09	-4.338	-1.25	0	0	3.78	1.54	0.15	-1	0	0	-2.63	520.05	
73	35406.15	12.068	2.15	1	21.33	-4.124	-0.5	0	0	2.06	0.27	0.15	-1	0	0	-4.69	538.95	
74	35556.35	22.602	2.3	4.3	94.03	-4.204	-2.482	0	0	1.68	3.62	1.55	-1	0	0	-10.79	74.75	
75	35652.15	10.06	1.9	1.1	16.99	-6.329	0.732	0	0	1.24	1.17	0.4	-1	0	0	-6.52	170.55	
76	36132.25	20.129	1.2	3.75	67.29	-4.856	-1.33	0	0	1.08	3.22	0.8	-1	0	0	-14.93	36.25	
77	37189.35	11.729	1.65	3.4	37.06	-3.365	-0.161	0	0	1.51	2.44	0.5	-1	0	0	-6.23	478.95	
78	37921.10	12.577	2.65	2.45	32.97	-4.151	1.991	0	0	1.81	0.67	0.45	-1	0	0	-5.56	596.30	
