500	Time (ms)	Amplitude	Rise (ms)	Decay (ms)	Area	Baseline	Noise	Group	Channel	10-90Rise	HalfWidth	Rise50	Peak Dir	Burst#	BurstE#	10-90Slope	Rel Time	
1	28.00	34.622	2.95	4.15	141.17	-54.214	-1.581	0	0	1.83	4.05	1.55	-1	0	0	-15.15	28.00	
2	104.85	56.576	3.25	6.5	345.53	-54.011	2.216	0	0	1.94	6.57	2.15	-1	0	0	-23.3	104.85	
3	301.05	43.182	2.05	4.6	200.07	-56.218	0.892	0	0	1.41	5.41	1.3	-1	0	0	-24.47	301.05	
4	554.25	58.479	2.1	5.1	274.92	-57.725	-1.296	0	0	1.79	5.19	1.5	-1	0	0	-26.09	554.25	
5	640.05	22	1.7	4.45	78.9	-54.627	1.618	0	0	1.26	2.37	1.05	-1	0	0	-13.96	25.65	
6	1359.45	32.021	3.3	4.7	155.69	-54.545	0.092	0	0	2.33	5.36	2	-1	0	0	-10.99	130.65	
7	1375.00	28.702	1.8	3.4	106.81	-57.303	-1.085	0	0	1.59	3.73	1.6	-1	0	0	-14.46	146.20	
8	1381.00	19.426	1.4	1.75	41.02	-61.964	-1.085	0	0	1.26	2.76	1.1	-1	0	0	-12.32	152.20	
9	1497.25	13.395	1.9	2.25	35.65	-54.765	-0.579	0	0	1.59	2.77	1.35	-1	0	0	-6.74	268.45	
10	1554.80	19.564	3.15	4.35	87.68	-54.443	1.14	0	0	2.42	5.05	1.9	-1	0	0	-6.46	326.00	
11	1656.40	10.287	2.1	2.95	30.13	-56.907	-2.096	0	0	1.49	1.03	0.2	-1	0	0	-5.54	427.60	
12	1832.30	36.93	4.65	5.45	257.66	-54.526	0.901	0	0	4.15	8.21	3.6	-1	0	0	-7.13	603.50	
13	2038.10	21.2	1.8	16.65	382.06	-54.912	-3.006	0	0	1.65	5.28	1.3	-1	0	0	-10.27	194.90	
14	2045.65	39.44	2.15	4.55	185.27	-59.38	-3.006	0	0	1.99	4.98	1.4	-1	0	0	-15.85	202.45	
15	2100.05	7.493	0.4	3.6	19.4	-56.512	2.409	0	0	0.28	0.46	0.35	-1	0	0	-21.31	256.85	
16	2349.75	37.472	1.65	5.8	182.29	-50.398	0.984	0	0	1.09	4.9	1	-1	0	0	-27.41	506.55	
17	2864.05	20.363	4.05	3.6	79.57	-54.535	0.653	0	0	2.85	4.04	0.55	-1	0	0	-5.71	406.45	
18	2992.00	68.537	2.35	5.6	362.31	-54.306	-1.526	0	0	1.18	5.47	1.75	-1	0	0	-46.33	534.40	
19	2492.70	9.092	1	1.5	15.02	-54.811	-0.579	0	0	0.91	1.12	0.2	-1	0	0	-7.98	35.10	
20	3204.85	28.068	4.3	7.1	193.57	-51.603	1.094	0	0	3.62	6.12	2.9	-1	0	0	-6.2	132.85	
21	3217.50	22.358	1.2	5.8	107.3	-54.471	1.094	0	0	1.03	5.28	0.45	-1	0	0	-17.33	145.50	
22	3404.10	14.25	2	0.6	26.84	-51.676	-1.131	0	0	1.8	2.11	1.6	-1	0	0	-6.33	332.10	
