500	Time (ms)	Amplitude	Rise (ms)	Decay (ms)	Area	Baseline	Noise	Group	Channel	10-90Rise	HalfWidth	Rise50	Peak Dir	Burst#	BurstE#	10-90Slope	Rel Time	
1	2693.90	66.833	2.45	4.3	299.87	-12.624	-1.873	0	0	2.19	5.46	1.85	-1	0	0	-24.4	236.30	
2	2772.20	30.659	2.3	4	124.98	-13.37	0.984	0	0	2.13	4.14	1.65	-1	0	0	-11.54	314.60	
3	3335.75	36.737	0.7	1.7	57.92	-13.544	1.381	0	0	0.54	2.06	0.55	-1	0	0	-54.32	263.75	
4	5142.25	14.52	2.2	0.85	25.37	-12.735	1.254	0	0	2.11	1.03	0.95	-1	0	0	-5.5	227.05	
5	5835.10	31.738	1.9	4.15	119.03	-10.823	-1.111	0	0	1.43	3.97	1	-1	0	0	-17.81	305.50	
6	5940.40	16.615	2.15	1.75	36.97	-12.584	0.659	0	0	1.99	1.53	1.45	-1	0	0	-6.68	410.80	
7	6209.00	13.227	1.1	0.95	16.83	-12.592	0.19	0	0	0.98	0.89	0.75	-1	0	0	-10.74	65.00	
8	6655.10	31.476	1.4	4.25	118.78	-10.283	1.024	0	0	1.2	3.84	0.95	-1	0	0	-21.06	511.10	
9	6758.60	25.073	2.3	2.5	78.37	-11.291	1.333	0	0	2.17	3.06	1.95	-1	0	0	-9.26	115.40	
10	7130.30	26.525	1.3	2	49.67	-11.434	-2.142	0	0	1.15	1.83	0.7	-1	0	0	-18.42	487.10	
11	7473.05	47.33	2.4	4.2	208.97	-11.656	1.19	0	0	1.31	5.5	1.5	-1	0	0	-28.87	215.45	
12	8119.15	18.972	1.2	3.3	49.41	-11.45	4.094	0	0	0.61	0.39	0.15	-1	0	0	-25.04	247.15	
13	8191.85	11.934	0.85	1.7	17.03	-15.441	3.626	0	0	0.72	1.05	0.4	-1	0	0	-13.32	319.85	
14	8200.55	32.841	2.45	2.65	99.92	-11.45	3.626	0	0	1.91	3.05	1.5	-1	0	0	-13.75	328.55	
15	9423.50	33.206	2.55	3.9	133.48	-10.878	-2.722	0	0	2.07	3.81	1.75	-1	0	0	-12.84	322.70	
16	9905.75	36.84	1	1.75	61.9	-12.037	1.666	0	0	0.39	1.7	0.6	-1	0	0	-75.82	190.55	
17	10149.65	32.683	1.3	3.35	100.18	-13.211	0.976	0	0	1.09	3.04	0.8	-1	0	0	-24.06	434.45	
18	10173.65	34.008	3.65	2.95	109.66	-10.251	-2.134	0	0	1.41	3.66	1.05	-1	0	0	-19.27	458.45	
19	11153.10	14.79	1.35	4	51.17	-13.275	-1.873	0	0	1.22	0.66	0.3	-1	0	0	-9.73	209.10	
20	11224.80	20.884	2.65	2.6	65.81	-13.616	-3.356	0	0	2.32	3.52	1.55	-1	0	0	-7.21	280.80	
21	11294.95	34.158	2.6	2.7	107.94	-14.687	-0.278	0	0	2.45	3.73	1.5	-1	0	0	-11.17	350.95	
22	12520.85	18.622	2.75	3.15	68.63	-12.219	-0.444	0	0	2.61	4.04	1.95	-1	0	0	-5.7	348.05	
23	12799.90	21.63	2.35	2.25	63.56	-14.266	-1.412	0	0	2.23	2.24	0.85	-1	0	0	-7.76	12.70	
24	14160.60	11.751	1.75	1.05	19.77	-16.107	-2.365	0	0	1.7	0.25	0.15	-1	0	0	-5.53	144.60	
25	14198.95	16.385	1.25	1.4	31.89	-13.1	0.587	0	0	1.17	2.5	1.2	-1	0	0	-11.17	182.95	
26	15799.90	17.988	3.15	2.45	60.26	-13.521	-0.048	0	0	2.78	2.88	1.75	-1	0	0	-5.17	555.10	
27	15829.30	17.781	1.65	3.15	51.67	-13.346	2.023	0	0	1.54	0.78	0.2	-1	0	0	-9.23	584.50	
28	16326.15	25.224	1.9	1.55	61.02	-14.552	-2.047	0	0	1.62	3.05	1.6	-1	0	0	-12.48	466.95	
29	16358.35	24.454	1.25	4.1	79.94	-13.465	3.261	0	0	1.1	1.85	0.9	-1	0	0	-17.72	499.15	
30	16488.80	29.572	2.25	3.7	111.87	-15.298	1.222	0	0	2.11	3.82	1.6	-1	0	0	-11.22	15.20	
31	16821.95	42.267	1.65	3.95	150.6	-12.806	4.039	0	0	1.37	3.06	1	-1	0	0	-24.7	348.35	
32	16828.80	34.301	2.25	4.2	152.89	-17.115	4.039	0	0	1.82	5.23	1.3	-1	0	0	-15.06	355.20	
33	17198.25	14.346	1.95	0.35	16.72	-19.202	-0.048	0	0	1.81	0.44	0.15	-1	0	0	-6.33	110.25	
34	17220.25	21.574	3.25	2.2	73.76	-12.354	-0.809	0	0	2.91	0.99	0.35	-1	0	0	-5.94	132.25	
35	17269.40	12.679	2.85	0.2	20.58	-14.37	1.254	0	0	0.4	0.23	0.15	-1	0	0	-25.36	181.40	
36	17322.40	26.39	1.65	2	51.69	-16.425	-2.126	0	0	1.31	2.05	0.7	-1	0	0	-16.07	234.40	
37	17342.40	15.56	1.35	0.6	16.45	-16.377	-1.238	0	0	1.13	1.16	0.65	-1	0	0	-11.01	254.40	
38	17444.75	15.941	1.55	0.3	18.75	-15.345	-1.976	0	0	1.4	1.46	1.25	-1	0	0	-9.12	356.75	
39	17509.00	17.004	0.9	1.35	23.13	-15.488	2.896	0	0	0.78	1.38	0.75	-1	0	0	-17.37	421.00	
40	17564.15	12.1	1.35	0.65	11.7	-16.234	-2.88	0	0	0.94	0.43	0.3	-1	0	0	-10.31	476.15	
41	17623.85	19.265	1.75	2.5	50.16	-13.338	-0.873	0	0	1.59	1.78	1.35	-1	0	0	-9.67	535.85	
42	17650.10	14.219	0.55	1.55	17.17	-13.719	4.824	0	0	0.46	0.21	0.1	-1	0	0	-24.89	562.10	
43	17732.10	10.902	1.1	2.7	23.83	-13.782	2.261	0	0	0.95	0.9	0.8	-1	0	0	-9.2	29.70	
44	17768.10	11.577	1.7	1.25	19.28	-14.266	0.492	0	0	1.41	0.81	0.7	-1	0	0	-6.59	65.70	
45	17820.50	15.988	1.3	1.15	26.71	-15.195	0.595	0	0	1.22	1.78	0.75	-1	0	0	-10.46	118.10	
46	17982.55	20.479	1.85	1	38.73	-17.194	-0.778	0	0	1.57	1.94	1.55	-1	0	0	-10.4	280.15	
47	18128.05	20.209	3	2.4	56.48	-16.107	-0.508	0	0	0.7	1.89	0.4	-1	0	0	-23.23	425.65	
48	18158.85	21.772	1	1.85	38.92	-14.877	3.872	0	0	0.85	1.76	0.7	-1	0	0	-20.45	456.45	
49	18227.70	17.758	1.4	1.45	33.19	-15.155	-0.27	0	0	1.23	2.08	0.95	-1	0	0	-11.57	525.30	
50	18311.95	11.957	0.6	1.6	18.78	-16.298	-0.19	0	0	0.54	1.68	0.15	-1	0	0	-17.88	609.55	
51	18430.90	12.545	0.7	1.2	12.67	-18.376	-2.349	0	0	0.54	0.55	0.25	-1	0	0	-18.57	114.10	
52	18498.35	15.258	1.55	1.45	29.65	-15.671	3.372	0	0	1.45	1.33	0.95	-1	0	0	-8.42	181.55	
53	18525.20	19.717	1.55	2.5	45.85	-15.179	-0.547	0	0	1.37	1.23	1.1	-1	0	0	-11.51	208.40	
54	18566.95	25.303	1.25	2.65	59.14	-15.314	1.127	0	0	0.89	2.6	0.7	-1	0	0	-22.79	250.15	
55	18751.60	13.362	1.95	0.6	19.92	-14.988	0.603	0	0	1.63	0.45	0.2	-1	0	0	-6.55	434.80	
56	18756.55	20.027	1.4	5.2	82.36	-12.243	0.603	0	0	1.31	2.41	0.4	-1	0	0	-12.22	439.75	
57	18937.70	51.892	1.8	3.65	186.79	-17.821	-4.055	0	0	1.42	4.23	1.2	-1	0	0	-29.31	6.50	
58	18960.65	19.344	1.65	2.05	41.62	-14.933	-3.428	0	0	1.52	2.07	0.6	-1	0	0	-10.15	29.45	
59	18979.25	18.646	1.45	1.85	35.66	-14.941	-0.325	0	0	1.18	1.01	0.65	-1	0	0	-12.59	48.05	
60	19053.55	12.465	1.7	1.5	25.23	-16.821	-0.706	0	0	1.61	0.47	0.15	-1	0	0	-6.18	122.35	
61	19113.40	14.703	4.25	1.25	47.32	-17.861	-0.881	0	0	4.12	1.2	0.7	-1	0	0	-2.85	182.20	
62	19110.00	15.123	0.85	1.6	22.92	-17.02	-0.325	0	0	0.76	1.47	0.6	-1	0	0	-15.84	178.80	
63	19271.05	18.495	3.85	2.25	73.13	-15.345	-1.246	0	0	3.41	3	1.8	-1	0	0	-4.34	339.85	
64	19575.40	15.869	1.4	1.45	25.89	-15.401	0.555	0	0	1.3	1.43	0.65	-1	0	0	-9.78	29.80	
65	19600.95	15.084	1.25	1.7	28.81	-15.98	-0.397	0	0	1.11	1.87	1	-1	0	0	-10.86	55.35	
66	19793.75	14.116	2.95	1.55	42.84	-16.266	0.484	0	0	2.8	3.05	2.4	-1	0	0	-4.04	248.15	
67	19895.95	21.542	2.15	0.65	39.6	-13.663	-4.308	0	0	1.99	1.83	1.7	-1	0	0	-8.68	350.35	
68	20108.70	25.724	1.85	2.35	66.9	-22.439	-3.698	0	0	1.74	2.55	0.8	-1	0	0	-11.85	563.10	
69	20101.70	11.156	1	3.15	36.13	-13.235	0.428	0	0	0.9	2.55	0.15	-1	0	0	-9.88	556.10	
70	20152.45	23.153	2.05	1.3	46.8	-12.941	-1.88	0	0	1.68	1.95	1.25	-1	0	0	-11.01	606.85	
71	20178.60	18.543	0.7	1.55	26.45	-14.528	2.468	0	0	0.59	1.82	0.35	-1	0	0	-24.95	18.60	
72	20231.75	15.004	0.75	0.5	12.52	-14.727	-0.008	0	0	0.61	1.04	0.65	-1	0	0	-19.57	71.75	
73	20369.00	18.273	1.45	2.5	43.06	-14.965	-2.817	0	0	1.08	2.08	0.95	-1	0	0	-13.55	209.00	
74	20337.35	14.584	1.8	0.35	16.78	-15.639	-2.539	0	0	1.71	0.21	0.15	-1	0	0	-6.81	177.35	
